review_id,product_id,customer_id,rating,review_text,review_date,helpful_votes
REV-644D4692,PROD-187B16A7,CUST-F8FAA68C,5,Exceeded my expectations completely.,2024-08-23,19
REV-3E12663A,PROD-790E63A6,CUST-4B532F33,4,"Works as described, happy with it.",2023-04-22,14
REV-2EA6A476,PROD-D535BA9E,CUST-AAED365B,5,"Top quality product, fast delivery.",2024-10-18,25
REV-E303C7AA,PROD-0637C0D8,CUST-A5D35B0D,2,Had some issues out of the box.,2023-10-21,12
REV-82B9C1CE,PROD-E24CB8A4,CUST-A5D35B0D,4,Good value for money.,2022-08-03,14
REV-9D33DD70,PROD-5FE65A3B,CUST-936BA115,4,"Works as described, happy with it.",2022-07-17,9
REV-CC139EA1,PROD-3CD1952C,CUST-899211E8,4,"Very good product, minor packaging issue.",2024-01-26,12
REV-A6DD9745,PROD-D535BA9E,CUST-3FF948FC,4,"Solid product, would recommend.",2022-07-12,12
REV-DC2ACAD4,PROD-6D2426CB,CUST-A9ECD251,3,Decent quality.,2024-10-20,19
REV-30F73D61,PROD-928A2A8B,CUST-5B1F53D3,3,"Average product, nothing special.",2024-08-07,17
REV-C65E10C4,PROD-1001130C,CUST-334365C9,4,"Solid product, would recommend.",2024-11-03,8
REV-690B2F0F,PROD-9A5F63AA,CUST-458DCACD,5,Absolutely love it! Best purchase ever.,2024-05-09,30
REV-F0405758,PROD-E24CB8A4,CUST-0D4F68FD,4,"Very good product, minor packaging issue.",2024-08-14,30
REV-21E6902C,PROD-F9231922,CUST-D9CB0086,4,Good value for money.,2022-08-31,30
REV-6E263C4C,PROD-C0B127A9,CUST-66F6D161,4,Good value for money.,2022-08-20,17
REV-0FBF1571,PROD-D535BA9E,CUST-143B0FBF,4,Good value for money.,2022-07-08,38
REV-09ED65C8,PROD-F9231922,CUST-3BE26B32,5,"Top quality product, fast delivery.",2023-11-04,0
REV-9027762E,PROD-0E06F972,CUST-BF0C6036,3,"Average product, nothing special.",2024-06-16,47
REV-63A0266C,PROD-8159C0A4,CUST-8F3B6F9D,5,Perfect fit and great build quality.,2023-02-22,17
REV-5C156F2C,PROD-3CD1952C,CUST-0AAE5BC2,5,"Top quality product, fast delivery.",2023-02-10,38
REV-970F907C,PROD-A7D1FB77,CUST-A2F542FF,4,"Solid product, would recommend.",2024-09-18,30
REV-531A00DA,PROD-44834CB1,CUST-67469594,1,Broke after one week.,2024-11-30,0
REV-0C39C67D,PROD-9A5F63AA,CUST-7D9BAFCC,5,"Top quality product, fast delivery.",2022-09-29,34
REV-A640320B,PROD-17DF18B5,CUST-388803BB,3,Okay for the price.,2024-02-09,50
REV-F5F0A76E,PROD-85AB6E7B,CUST-868ADE8A,5,Absolutely love it! Best purchase ever.,2024-09-01,34
REV-A0A0873A,PROD-F8706B59,CUST-B2C80B3C,1,Complete waste of money.,2023-07-09,49
REV-573FB2A8,PROD-F2B52A80,CUST-8701EFC9,3,Decent quality.,2024-12-24,34
REV-E8EA31CD,PROD-66419DA1,CUST-E1B5E26D,4,"Very good product, minor packaging issue.",2024-04-06,28
REV-A7463089,PROD-6A13D41F,CUST-71ACE83A,4,"Solid product, would recommend.",2023-04-26,10
REV-CF9F66FD,PROD-8EA520A4,CUST-E2EBEF6A,4,"Solid product, would recommend.",2023-03-17,44
REV-45471BBE,PROD-963421E3,CUST-6D51D533,4,"Works as described, happy with it.",2024-06-09,15
REV-50D8FAA7,PROD-661FE965,CUST-92A4A8EB,3,Okay for the price.,2022-07-27,12
REV-8DC776DF,PROD-0E074139,CUST-D2C85F1F,4,Good value for money.,2024-10-18,1
REV-5948C607,PROD-1013CB12,CUST-5CAAD97D,4,"Very good product, minor packaging issue.",2024-07-20,49
REV-76688428,PROD-99030BD0,CUST-D4F3448A,5,Perfect fit and great build quality.,2022-07-14,38
REV-444AAAEC,PROD-790E63A6,CUST-A18299FC,3,"Average product, nothing special.",2023-12-06,46
REV-FC3D13EF,PROD-44834CB1,CUST-FC3B15A3,5,Exceeded my expectations completely.,2022-08-20,5
REV-AFE4EB80,PROD-8F134EA0,CUST-6CABAEC4,3,Gets the job done but could be better.,2023-06-23,6
REV-0AD69B91,PROD-6ACBDFF5,CUST-5417B9A7,2,Okay but overpriced.,2023-12-27,3
REV-7F246131,PROD-6EA27620,CUST-28FF33A3,3,Okay for the price.,2024-04-04,7
REV-21C461CE,PROD-6EA27620,CUST-6354CD9F,2,Okay but overpriced.,2023-09-09,43
REV-F649EE95,PROD-261E2C48,CUST-D297F7AF,4,"Very good product, minor packaging issue.",2023-04-18,14
REV-ADE3EC6A,PROD-D58C3016,CUST-B6C8F29D,4,"Very good product, minor packaging issue.",2023-10-01,30
REV-87D41F57,PROD-E24F5BD8,CUST-0912696B,5,"Top quality product, fast delivery.",2023-03-31,30
REV-BBBF31EA,PROD-8FD1797E,CUST-66F6D161,5,Exceeded my expectations completely.,2024-12-27,40
REV-8B4CB244,PROD-31695DC7,CUST-334365C9,5,Absolutely love it! Best purchase ever.,2023-03-24,24
REV-C9F581D8,PROD-3CD1952C,CUST-E1AFF3AB,5,"Top quality product, fast delivery.",2024-06-16,15
REV-3DF3A332,PROD-661FE965,CUST-F19BC959,4,"Solid product, would recommend.",2024-09-01,24
REV-E0E75852,PROD-DADF29A3,CUST-9B97F9A4,5,Perfect fit and great build quality.,2022-12-02,15
REV-AAFF57A4,PROD-5FE65A3B,CUST-BB4C8366,3,"Average product, nothing special.",2023-06-08,14
REV-FC75F6DB,PROD-E6123478,CUST-4308FB13,5,Perfect fit and great build quality.,2022-08-15,47
REV-8B486860,PROD-17DF18B5,CUST-212175F7,4,Good value for money.,2023-10-11,35
REV-01BB7C04,PROD-187B16A7,CUST-CAC027CF,5,Perfect fit and great build quality.,2023-11-12,25
REV-B3434970,PROD-0637C0D8,CUST-3E58B997,1,Broke after one week.,2022-07-13,25
REV-A0458A2A,PROD-8BC4BBBB,CUST-28EF754F,4,"Very good product, minor packaging issue.",2023-06-15,2
REV-7AFB6D83,PROD-DF356D3A,CUST-0E393329,2,Disappointed with the quality.,2024-03-24,40
REV-E178211A,PROD-6A13D41F,CUST-25760997,4,"Very good product, minor packaging issue.",2022-06-12,13
REV-235C1089,PROD-F42CBE35,CUST-52C32273,4,"Works as described, happy with it.",2022-07-31,47
REV-766D829D,PROD-1001130C,CUST-D5A81739,3,Decent quality.,2022-10-17,1
REV-5B488FF2,PROD-8EA520A4,CUST-6728CDB7,4,"Works as described, happy with it.",2024-07-25,29
REV-F3B874B3,PROD-A297628B,CUST-B99C9A76,5,"Top quality product, fast delivery.",2023-01-23,7
REV-9D1688B8,PROD-6D2426CB,CUST-77EE3ECE,4,"Solid product, would recommend.",2022-07-13,3
REV-EB0C8651,PROD-6ACBDFF5,CUST-7BDE58DA,4,"Very good product, minor packaging issue.",2022-10-15,29
REV-B4FC2514,PROD-510DD867,CUST-8E59FFB9,3,Decent quality.,2024-04-08,20
REV-D44BA355,PROD-ECFDE58F,CUST-63A40671,3,Okay for the price.,2022-07-15,20
REV-8D310FD9,PROD-F9231922,CUST-B807180B,3,Decent quality.,2024-05-11,18
REV-7900B744,PROD-8B0DE042,CUST-88F9A07F,5,Absolutely love it! Best purchase ever.,2022-10-06,35
REV-5FB4D68C,PROD-F9231922,CUST-DFD75988,1,Complete waste of money.,2023-05-23,40
REV-5CE78F58,PROD-AB1FF945,CUST-D540071F,4,Good value for money.,2024-07-20,21
REV-1953FBCF,PROD-6EA27620,CUST-6728CDB7,4,"Works as described, happy with it.",2024-02-02,50
REV-D58C202C,PROD-85AB6E7B,CUST-AC8C4B83,4,"Solid product, would recommend.",2024-02-22,31
REV-342B1828,PROD-6C8C7B4E,CUST-1E2FBEB8,2,Disappointed with the quality.,2023-01-27,26
REV-006CED07,PROD-661FE965,CUST-F6DA48E5,2,"Not as described, expected better.",2023-04-14,34
REV-1572811E,PROD-928A2A8B,CUST-67469594,4,Good value for money.,2023-09-03,40
REV-82FD2B0C,PROD-661FE965,CUST-F80F0A1F,3,Gets the job done but could be better.,2022-06-17,8
REV-98485F42,PROD-3AD6D727,CUST-EADD3A33,3,Decent quality.,2022-06-28,4
REV-55ACC86A,PROD-E55B2CB4,CUST-D4F8E1A0,4,"Very good product, minor packaging issue.",2022-08-09,28
REV-351ED940,PROD-71C4E5EF,CUST-60013048,3,Gets the job done but could be better.,2024-09-06,6
REV-F5D22B2A,PROD-0637C0D8,CUST-32E45AA6,3,Gets the job done but could be better.,2024-01-07,3
REV-851224B6,PROD-6EFF520C,CUST-6F337490,4,Good value for money.,2022-08-16,13
REV-1394B626,PROD-8159C0A4,CUST-DE7B5A47,3,Gets the job done but could be better.,2024-01-02,16
REV-D86F4002,PROD-51E64CDE,CUST-0FDDA671,2,Okay but overpriced.,2024-06-19,47
REV-A5A4EF02,PROD-BFF3526B,CUST-D4F8E1A0,4,Good value for money.,2024-05-12,29
REV-A461D775,PROD-9A5F63AA,CUST-4ADE8457,4,"Solid product, would recommend.",2022-10-05,36
REV-CB64E785,PROD-31695DC7,CUST-377CE8B7,5,Perfect fit and great build quality.,2023-08-20,47
REV-1099B1FD,PROD-6EA27620,CUST-B12BD511,5,Exceeded my expectations completely.,2023-08-14,21
REV-4592657F,PROD-790E63A6,CUST-0D4F229C,4,"Works as described, happy with it.",2022-12-17,20
REV-1DCA19D9,PROD-510DD867,CUST-E240B6AF,5,Perfect fit and great build quality.,2023-07-11,35
REV-8ED27D32,PROD-7DFE211B,CUST-8DD8A86C,5,Perfect fit and great build quality.,2022-07-21,49
REV-91AD7EFF,PROD-84BE239B,CUST-899211E8,3,Gets the job done but could be better.,2024-10-15,30
REV-0CB6F96B,PROD-71C4E5EF,CUST-614146B9,5,"Top quality product, fast delivery.",2023-02-06,0
REV-833E24F3,PROD-BFF3526B,CUST-EFA73A12,5,Exceeded my expectations completely.,2022-11-15,1
REV-1FCE5311,PROD-8BC4BBBB,CUST-317D51C8,4,"Works as described, happy with it.",2023-01-09,12
REV-DE86619A,PROD-8F134EA0,CUST-4010C35F,5,Perfect fit and great build quality.,2023-01-04,50
REV-762E5E39,PROD-F8706B59,CUST-DDDEB6F6,4,"Solid product, would recommend.",2023-03-24,16
REV-C31A5AAF,PROD-F9231922,CUST-07BA7B8B,1,Broke after one week.,2023-04-26,15
REV-DA707C5B,PROD-A7D1FB77,CUST-8E59FFB9,5,Perfect fit and great build quality.,2023-06-21,39
REV-DD2A5CA9,PROD-6D2426CB,CUST-66CCB242,5,Exceeded my expectations completely.,2023-08-24,30
REV-75C211A1,PROD-3CD1952C,CUST-C11859AA,5,Exceeded my expectations completely.,2023-01-16,46
REV-70469B4C,PROD-8EA520A4,CUST-63214E32,4,"Works as described, happy with it.",2022-07-18,8
REV-906016C6,PROD-6D2426CB,CUST-C60D0C30,3,"Average product, nothing special.",2023-02-13,44
REV-9B314171,PROD-3AD6D727,CUST-60013048,5,Exceeded my expectations completely.,2023-01-20,48
REV-914CE89B,PROD-ABEABAEB,CUST-4E82A6A2,5,"Top quality product, fast delivery.",2022-10-20,13
REV-87F76665,PROD-510DD867,CUST-A7A6BBEF,5,Absolutely love it! Best purchase ever.,2024-02-10,37
REV-C1CC4D0C,PROD-D33AB38C,CUST-412B9C03,4,"Solid product, would recommend.",2023-05-06,20
REV-29191DCA,PROD-010E83D4,CUST-4CB5157D,5,"Top quality product, fast delivery.",2024-05-07,21
REV-D5EEF2E7,PROD-60974ED2,CUST-838A7229,2,Had some issues out of the box.,2023-04-28,27
REV-64AB0482,PROD-D33AB38C,CUST-B804C246,4,"Very good product, minor packaging issue.",2022-12-24,35
REV-C80D8AA5,PROD-790E63A6,CUST-0D147911,5,Absolutely love it! Best purchase ever.,2024-06-03,25
REV-9E1F9BA3,PROD-84BE239B,CUST-FE4A92BE,5,Exceeded my expectations completely.,2022-12-06,49
REV-27272B22,PROD-85AB6E7B,CUST-F0E511E2,5,Exceeded my expectations completely.,2023-10-18,28
REV-70F3F0DA,PROD-AB1FF945,CUST-53A1D623,4,"Very good product, minor packaging issue.",2023-07-30,46
REV-A09161D2,PROD-8D72CF50,CUST-E3630AB7,4,"Solid product, would recommend.",2023-07-17,19
REV-116307CF,PROD-1001130C,CUST-C668B17A,5,Perfect fit and great build quality.,2022-06-04,13
REV-9CB4843C,PROD-0637C0D8,CUST-B5C49A57,4,"Solid product, would recommend.",2024-08-25,2
REV-FBE40442,PROD-9A5F63AA,CUST-3449F549,3,Decent quality.,2022-10-17,40
REV-6082069A,PROD-8D72CF50,CUST-8FB674DF,3,Gets the job done but could be better.,2024-08-19,45
REV-2C442886,PROD-0637C0D8,CUST-92A4A8EB,3,Gets the job done but could be better.,2023-03-04,1
REV-B9573813,PROD-8BC4BBBB,CUST-D099FDE7,4,Good value for money.,2023-11-01,10
REV-8DF44FD0,PROD-661FE965,CUST-1599EF6E,4,Good value for money.,2024-01-04,0
REV-29E9A3C0,PROD-8BC4BBBB,CUST-C3BABFE9,5,Exceeded my expectations completely.,2022-06-15,2
REV-C320EB7E,PROD-6EA27620,CUST-5636E8B6,3,Decent quality.,2024-03-11,50
REV-16534C1F,PROD-6EA27620,CUST-A91835A3,5,"Top quality product, fast delivery.",2023-07-27,46
REV-353608EC,PROD-5FE65A3B,CUST-ECE790E1,2,Okay but overpriced.,2023-04-19,38
REV-D6B6C5AC,PROD-F42CBE35,CUST-E43BB839,4,"Very good product, minor packaging issue.",2023-11-18,13
REV-9FE31C7D,PROD-5FE65A3B,CUST-B6C8F29D,5,Perfect fit and great build quality.,2024-07-06,36
REV-4EFE9416,PROD-66419DA1,CUST-4CB5157D,5,Absolutely love it! Best purchase ever.,2023-02-19,38
REV-7853078F,PROD-1013CB12,CUST-B8E3127B,5,Absolutely love it! Best purchase ever.,2024-01-25,47
REV-0BE42689,PROD-9A5F63AA,CUST-D4D849B7,4,Good value for money.,2022-06-15,18
REV-E3A8ED28,PROD-F8706B59,CUST-D5A81739,4,"Solid product, would recommend.",2024-08-02,27
REV-964FB047,PROD-DADF29A3,CUST-92A4A8EB,3,Okay for the price.,2024-01-26,16
REV-2C04006A,PROD-BFF3526B,CUST-212175F7,5,Absolutely love it! Best purchase ever.,2022-11-08,45
REV-6A4ECEDF,PROD-6ACBDFF5,CUST-9DB5F5DB,4,"Very good product, minor packaging issue.",2024-04-07,6
REV-D4D3C819,PROD-44834CB1,CUST-5122D7CA,3,Decent quality.,2023-01-20,16
REV-1A5BE35C,PROD-E24CB8A4,CUST-8ECC09F0,1,Complete waste of money.,2023-08-22,47
REV-B3D592D6,PROD-261E2C48,CUST-1599EF6E,4,"Works as described, happy with it.",2024-09-14,37
REV-8E3806E6,PROD-97EA55D8,CUST-AAB011C2,5,Perfect fit and great build quality.,2023-04-04,11
REV-40705AE8,PROD-261E2C48,CUST-55178AEF,5,Perfect fit and great build quality.,2024-06-02,29
REV-66C4BEBE,PROD-99030BD0,CUST-7212DDAD,5,Exceeded my expectations completely.,2024-12-17,8
REV-539C1C1C,PROD-DF356D3A,CUST-6CE5C556,3,Gets the job done but could be better.,2022-07-30,21
REV-46CBD1D7,PROD-9D1B6633,CUST-9133F801,4,"Solid product, would recommend.",2023-11-17,3
REV-D08FCD84,PROD-E24CB8A4,CUST-EEB165DD,4,"Works as described, happy with it.",2024-05-15,46
REV-FB2FD46E,PROD-7DFE211B,CUST-3ED766FE,3,Decent quality.,2023-09-22,47
REV-C5A39659,PROD-963421E3,CUST-5174F20F,5,"Top quality product, fast delivery.",2023-07-06,1
REV-2598346B,PROD-8159C0A4,CUST-88F9A07F,5,Perfect fit and great build quality.,2024-05-04,28
REV-7D1E0377,PROD-A297628B,CUST-0EEE8D5B,4,"Solid product, would recommend.",2022-12-15,43
REV-67E4DA24,PROD-187B16A7,CUST-B28B0B95,4,"Solid product, would recommend.",2022-11-05,12
REV-8EA7DB1A,PROD-790E63A6,CUST-C838AFFE,4,"Very good product, minor packaging issue.",2024-01-09,9
REV-B0C1456C,PROD-60974ED2,CUST-3ED766FE,4,"Works as described, happy with it.",2022-06-08,6
REV-CC9BAF3E,PROD-4CA1DF0A,CUST-F80F0A1F,4,Good value for money.,2024-06-20,28
REV-E70D225C,PROD-6C8C7B4E,CUST-7FB6D1EF,4,Good value for money.,2023-05-05,31
REV-475107C8,PROD-ABEABAEB,CUST-F9C2AB10,4,"Solid product, would recommend.",2023-04-27,20
REV-AF51320E,PROD-4CA1DF0A,CUST-0E393329,5,Perfect fit and great build quality.,2023-05-27,6
REV-FE4C611B,PROD-6EFF520C,CUST-6F337490,5,Perfect fit and great build quality.,2023-08-16,17
REV-F0A1AEB2,PROD-0637C0D8,CUST-5AE6AFE6,1,Complete waste of money.,2023-05-12,33
REV-20C107FB,PROD-661FE965,CUST-6CB94C3B,5,Exceeded my expectations completely.,2023-03-26,43
REV-1361B0DE,PROD-E24CB8A4,CUST-D4475EDD,2,Had some issues out of the box.,2023-05-28,16
REV-AD0097F7,PROD-85AB6E7B,CUST-693B289D,3,Decent quality.,2024-10-30,19
REV-9EC6E0A6,PROD-A4CCDFA3,CUST-B2C80B3C,3,Gets the job done but could be better.,2023-03-31,0
REV-554DAA2C,PROD-E55B2CB4,CUST-1DDEB338,2,Had some issues out of the box.,2024-12-21,34
REV-61E50CDB,PROD-17DF18B5,CUST-95E92DA5,5,Exceeded my expectations completely.,2024-10-04,20
REV-74F444E6,PROD-F2B52A80,CUST-F01868AB,5,Absolutely love it! Best purchase ever.,2023-09-07,1
REV-1B64594D,PROD-6C8C7B4E,CUST-A70CB981,5,Absolutely love it! Best purchase ever.,2024-11-20,39
REV-9138DA7F,PROD-ECFDE58F,CUST-F0F49598,3,Okay for the price.,2023-11-07,41
REV-077A46D2,PROD-6EFF520C,CUST-85C71857,4,Good value for money.,2024-06-18,3
REV-1D079414,PROD-6ACBDFF5,CUST-4AD22C0C,4,"Very good product, minor packaging issue.",2024-02-14,49
REV-0D4DE642,PROD-3AD6D727,CUST-8D17B615,5,"Top quality product, fast delivery.",2024-04-15,37
REV-DFBFF929,PROD-8BC4BBBB,CUST-FC1F1C8F,1,"Very poor quality, not recommended.",2024-09-21,38
REV-2D39DD98,PROD-99030BD0,CUST-2F3BF899,4,"Solid product, would recommend.",2022-10-17,17
REV-C476A9D7,PROD-85AB6E7B,CUST-1E552254,3,Decent quality.,2022-09-21,13
REV-DBF4207C,PROD-A80DF571,CUST-FBC98D3B,4,"Very good product, minor packaging issue.",2023-04-02,20
REV-40603BF0,PROD-0E074139,CUST-53A1D623,5,"Top quality product, fast delivery.",2024-07-11,49
REV-17F8B694,PROD-99030BD0,CUST-D2C85F1F,4,"Very good product, minor packaging issue.",2024-01-08,20
REV-BF0DF630,PROD-8B0DE042,CUST-E1AFF3AB,4,Good value for money.,2024-04-24,1
REV-3832A4A7,PROD-CD51CEBB,CUST-28EF754F,5,Absolutely love it! Best purchase ever.,2022-10-22,42
REV-0B444D0E,PROD-187B16A7,CUST-3449F549,5,"Top quality product, fast delivery.",2023-03-04,9
REV-B49061FD,PROD-F2B52A80,CUST-977374FB,4,"Works as described, happy with it.",2022-09-01,22
REV-0E477D83,PROD-963421E3,CUST-92172702,5,Exceeded my expectations completely.,2023-05-07,33
REV-10EB2185,PROD-17DF18B5,CUST-B99C9A76,3,Okay for the price.,2024-10-12,19
REV-F3DEA732,PROD-F5D61492,CUST-78B27A90,3,Gets the job done but could be better.,2024-04-11,29
REV-EC77279E,PROD-6ACBDFF5,CUST-68B2CD79,4,"Solid product, would recommend.",2023-06-07,39
REV-29EC3681,PROD-AF5D54EE,CUST-F6D19C4F,4,Good value for money.,2022-08-08,32
REV-3FF79D14,PROD-ECFDE58F,CUST-36D6AC56,5,Exceeded my expectations completely.,2022-12-24,0
REV-8FA0CB0F,PROD-DADF29A3,CUST-940593B4,4,Good value for money.,2024-08-14,41
REV-0B5CC1B5,PROD-A7D1FB77,CUST-C76EB422,4,Good value for money.,2022-09-17,36
REV-AFBA52D0,PROD-84BE239B,CUST-8A0973CF,4,"Works as described, happy with it.",2022-11-20,27
REV-E697BE20,PROD-E24F5BD8,CUST-8D0B72D2,1,Complete waste of money.,2024-06-03,39
REV-CC785BBE,PROD-C0B127A9,CUST-0FF25348,5,Perfect fit and great build quality.,2024-10-06,30
REV-39987445,PROD-ABEABAEB,CUST-3FF948FC,3,"Average product, nothing special.",2024-10-17,28
REV-1B2ADED5,PROD-187B16A7,CUST-3480943B,3,Gets the job done but could be better.,2022-12-04,37
REV-997B37F8,PROD-71C4E5EF,CUST-568656F5,3,"Average product, nothing special.",2024-09-09,33
REV-AFD47779,PROD-71C4E5EF,CUST-B99C9A76,5,Exceeded my expectations completely.,2023-03-29,49
REV-27D701C7,PROD-51E64CDE,CUST-EB205B0D,2,Okay but overpriced.,2024-09-19,21
REV-96F306E3,PROD-661FE965,CUST-B804C246,4,"Very good product, minor packaging issue.",2023-08-05,9
REV-F7DCDBB3,PROD-CBD3D5EF,CUST-FC2984D5,3,Okay for the price.,2023-01-12,41
REV-F1ECDDA0,PROD-928A2A8B,CUST-25760997,4,"Very good product, minor packaging issue.",2022-11-03,10
REV-0F7D6536,PROD-5FE65A3B,CUST-0299D180,3,"Average product, nothing special.",2024-05-26,50
REV-AB78BC78,PROD-864E4B64,CUST-13634CDC,5,"Top quality product, fast delivery.",2024-11-10,45
REV-B828F6C6,PROD-928A2A8B,CUST-0299D180,4,Good value for money.,2024-09-07,29
